policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,pre_train_acc,pre_train_loss,d_acc,d_loss,window
mwm_accdiff_all_ce_cf,1,52,6,ce_peer,1.0,78.33999991416931,0.1,76.30000114440918,0.710382878780365,75.4800021648407,0.7467801570892334,,,,,,,,-0.8199989795684814,0.03639727830886841,41-60
mwm_accdiff_all_ce_cf,1,52,4,ce_peer,7.0,77.88000106811523,0.1,75.62000155448914,0.7357844710350037,77.1399974822998,0.6804360151290894,,,,,,,,1.519995927810669,-0.05534845590591431,41-60
mwm_accdiff_all_ce_cf,1,52,8,ce_peer,2.0,78.1000018119812,0.1,77.75999903678894,0.6561455726623535,78.43999862670898,0.64751797914505,,,,,,,,0.679999589920044,-0.008627593517303467,41-60
mwm_accdiff_all_ce_cf,1,53,7,ce,,,0.1,77.88000106811523,0.6503080129623413,77.28000283241272,0.6875656247138977,8.0,78.43999862670898,78.43999862670898,75.22000074386597,0.751427948474884,,,-0.5999982357025146,0.037257611751556396,41-60
mwm_accdiff_all_ce_cf,1,53,6,ce_peer,8.0,78.43999862670898,0.1,75.4800021648407,0.7467801570892334,76.09999775886536,0.6899710893630981,,,,,,,,0.6199955940246582,-0.056809067726135254,41-60
mwm_accdiff_all_ce_cf,1,53,4,ce_peer,2.0,78.1000018119812,0.1,77.1399974822998,0.6804360151290894,76.84000134468079,0.6763309836387634,,,,,,,,-0.29999613761901855,-0.004105031490325928,41-60
mwm_accdiff_all_ce_cf,1,53,5,ce_peer,3.0,77.97999978065491,0.1,77.16000080108643,0.6685107946395874,75.0,0.7395291328430176,,,,,,,,-2.160000801086426,0.07101833820343018,41-60
mwm_accdiff_all_ce_cf,1,53,9,ce_peer,1.0,78.33999991416931,0.1,73.47999811172485,0.7908892631530762,74.5199978351593,0.7691196799278259,,,,,,,,1.0399997234344482,-0.021769583225250244,41-60
mwm_accdiff_all_ce_cf,1,54,7,ce,,,0.1,77.28000283241272,0.6875656247138977,75.98000168800354,0.7296403646469116,8.0,78.43999862670898,78.43999862670898,76.39999985694885,0.7096760272979736,,,-1.3000011444091797,0.042074739933013916,41-60
mwm_accdiff_all_ce_cf,1,54,6,ce_peer,2.0,78.1000018119812,0.1,76.09999775886536,0.6899710893630981,77.21999883651733,0.680245578289032,,,,,,,,1.1200010776519775,-0.009725511074066162,41-60
mwm_accdiff_all_ce_cf,1,54,4,ce_peer,3.0,77.97999978065491,0.1,76.84000134468079,0.6763309836387634,76.7799973487854,0.7010135054588318,,,,,,,,-0.06000399589538574,0.02468252182006836,41-60
mwm_accdiff_all_ce_cf,1,54,5,ce_peer,8.0,78.43999862670898,0.1,75.0,0.7395291328430176,76.92000269889832,0.7041527032852173,,,,,,,,1.9200026988983154,-0.03537642955780029,41-60
mwm_accdiff_all_ce_cf,1,54,9,ce_peer,1.0,78.33999991416931,0.1,74.5199978351593,0.7691196799278259,75.67999958992004,0.7186952233314514,,,,,,,,1.1600017547607422,-0.05042445659637451,41-60
mwm_accdiff_all_ce_cf,1,55,4,ce_peer,2.0,78.1000018119812,0.1,76.7799973487854,0.7010135054588318,77.02000141143799,0.687409520149231,,,,,,,,0.2400040626525879,-0.01360398530960083,41-60
mwm_accdiff_all_ce_cf,1,55,6,ce,,,0.1,77.21999883651733,0.680245578289032,76.80000066757202,0.6852409839630127,8.0,78.43999862670898,78.43999862670898,74.36000108718872,0.8132630586624146,,,-0.4199981689453125,0.004995405673980713,41-60
mwm_accdiff_all_ce_cf,1,55,5,ce_peer,3.0,77.97999978065491,0.1,76.92000269889832,0.7041527032852173,76.45999789237976,0.6936601400375366,,,,,,,,-0.4600048065185547,-0.010492563247680664,41-60
mwm_accdiff_all_ce_cf,1,55,9,ce_peer,1.0,78.33999991416931,0.1,75.67999958992004,0.7186952233314514,76.57999992370605,0.6872104406356812,,,,,,,,0.9000003337860107,-0.031484782695770264,41-60
mwm_accdiff_all_ce_cf,1,55,7,ce_peer,8.0,78.43999862670898,0.1,75.98000168800354,0.7296403646469116,78.07999849319458,0.6498753428459167,,,,,,,,2.09999680519104,-0.07976502180099487,41-60
mwm_accdiff_all_ce_cf,1,56,4,ce_peer,2.0,78.1000018119812,0.1,77.02000141143799,0.687409520149231,75.98000168800354,0.706222414970398,,,,,,,,-1.0399997234344482,0.018812894821166992,41-60
mwm_accdiff_all_ce_cf,1,56,5,ce_peer,8.0,78.43999862670898,0.1,76.45999789237976,0.6936601400375366,76.99999809265137,0.7014971971511841,,,,,,,,0.5400002002716064,0.007837057113647461,41-60
