method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CelNet,3,0.05,1,80.39,0.6116937026977539,0.45999999999999375,0.014247841691970797
CelNet,3,0.05,2,79.8,0.6525982348918915,1.0499999999999972,0.055152373886108386
CelNet,3,0.05,3,81.02,0.5843984335184097,-0.1700000000000017,-0.01304742748737342
CelNet,3,0.05,4,80.46,0.6028610424995422,0.39000000000000057,0.00541518149375908
CelNet,3,0.1,0,79.9,0.6255499209880829,0.9499999999999886,0.02810405998229981
CelNet,3,0.1,1,79.64,0.6478742348670959,1.2099999999999937,0.050428373861312825
CelNet,3,0.1,2,77.44,0.7639527521133422,3.4099999999999966,0.16650689110755912
CelNet,3,0.1,3,80.92,0.5961205558300018,-0.07000000000000739,-0.0013253051757813328
CelNet,3,0.1,4,79.86,0.6278018756866455,0.9899999999999949,0.030356014680862353
CelNet,3,0.2,0,77.15,0.7018266120910645,3.6999999999999886,0.10438075108528133
CelNet,3,0.2,1,74.86,0.8033007406234741,5.989999999999995,0.205854879617691
CelNet,3,0.2,2,67.27,1.2249544096946716,13.579999999999998,0.6275085486888885
CelNet,3,0.2,3,77.64,0.6935504376411438,3.2099999999999937,0.09610457663536065
CelNet,3,0.2,4,76.31,0.7477148997306824,4.539999999999992,0.15026903872489927
CelNet,4,0.0,0,81.43,0.5651668411254883,0.0,0.0
CelNet,4,0.01,0,81.32,0.5638045118808747,0.11000000000001364,-0.0013623292446136581
CelNet,4,0.01,1,81.39,0.5642173651695251,0.04000000000000625,-0.0009494759559631749
CelNet,4,0.01,2,81.37,0.5660090883731842,0.060000000000002274,0.000842247247695882
CelNet,4,0.01,3,81.43,0.5642834178924561,0.0,-0.0008834232330322545
CelNet,4,0.01,4,81.37,0.5657219441890716,0.060000000000002274,0.0005551030635833065
CelNet,4,0.02,0,81.42,0.5634106556415558,0.010000000000005116,-0.0017561854839325264
CelNet,4,0.02,1,81.4,0.5636707546234131,0.030000000000001137,-0.0014960865020752223
CelNet,4,0.02,2,81.33,0.567388979101181,0.10000000000000853,0.002222137975692706
CelNet,4,0.02,3,81.33,0.5642823182582856,0.10000000000000853,-0.0008845228672027527
CelNet,4,0.02,4,81.48,0.5668838322162628,-0.04999999999999716,0.0017169910907745
CelNet,4,0.05,0,81.51,0.5678938796997071,-0.0799999999999983,0.002727038574218743
CelNet,4,0.05,1,81.13,0.5650758689403534,0.30000000000001137,-9.097218513487437e-05
CelNet,4,0.05,2,81.12,0.5750480622291565,0.3100000000000023,0.00988122110366818
CelNet,4,0.05,3,81.21,0.5692081827163696,0.22000000000001307,0.00404134159088132
CelNet,4,0.05,4,81.19,0.5738729895591735,0.2400000000000091,0.008706148433685224
CelNet,4,0.1,0,80.5,0.5964714114189148,0.9300000000000068,0.03130457029342648
CelNet,4,0.1,1,80.58,0.5767909647941589,0.8500000000000085,0.011624123668670605
CelNet,4,0.1,2,80.28,0.600421836900711,1.1500000000000057,0.03525499577522273
CelNet,4,0.1,3,80.5,0.5955265274047852,0.9300000000000068,0.03035968627929686
CelNet,4,0.1,4,80.39,0.5981362156391143,1.0400000000000063,0.032969374513626026
CelNet,4,0.2,0,75.18,0.752628186416626,6.25,0.18746134529113767
CelNet,4,0.2,1,78.15,0.643489026260376,3.280000000000001,0.07832218513488765
CelNet,4,0.2,2,76.63,0.7114384426593781,4.800000000000011,0.14627160153388974
CelNet,4,0.2,3,76.2,0.7471423216819764,5.230000000000004,0.18197548055648805
CelNet,4,0.2,4,77.3,0.7025329500198364,4.13000000000001,0.13736610889434808
CelNet,5,0.0,0,84.34,0.460753844833374,0.0,0.0
CelNet,5,0.01,0,84.39,0.45965693759918214,-0.04999999999999716,-0.0010969072341918684
CelNet,5,0.01,1,84.39,0.46108832936286925,-0.04999999999999716,0.0003344845294952492
CelNet,5,0.01,2,84.39,0.46144700589179993,-0.04999999999999716,0.0006931610584259285
CelNet,5,0.01,3,84.42,0.4620227021574974,-0.0799999999999983,0.001268857324123407
