group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
1.0,42,109,9,ce,86.38,0.23999999999999488,0.08987950533628464,0.39910340309143066,1.6477168798446655
1.0,42,110,10,ce,86.42,0.04000000000000625,0.09320001304149628,0.4018878936767578,1.632447361946106
1.0,42,111,11,ce,86.26,-0.1599999999999966,0.0904613584280014,0.3995915949344635,1.6103259325027466
1.0,42,112,12,ce,86.32,0.05999999999998806,0.08689954876899719,0.4009154140949249,1.5952945947647095
1.0,42,113,13,ce,86.62,0.30000000000001137,0.0985117107629776,0.40641748905181885,1.5998611450195312
1.0,42,114,14,ce,86.5,-0.12000000000000455,0.08935091644525528,0.40078502893447876,1.6026394367218018
1.0,42,115,15,ce,86.76,0.2600000000000051,0.10605034232139587,0.40921372175216675,1.5584535598754883
1.0,42,116,16,ce,86.52,-0.2400000000000091,0.07448858767747879,0.3967474699020386,1.526495099067688
1.0,42,117,17,ce,86.42,-0.09999999999999432,0.10117494314908981,0.40755146741867065,1.561659336090088
1.0,42,118,18,ce,86.42,0.0,0.102354034781456,0.40507712960243225,1.5479626655578613
1.0,42,119,19,ce,86.7,0.28000000000000114,0.1005350649356842,0.4095443785190582,1.5173919200897217
1.0,42,120,20,ce,86.6,-0.10000000000000853,0.09284158051013947,0.40651392936706543,1.5528615713119507
1.0,42,121,21,ce,86.76,0.1600000000000108,0.11600717157125473,0.4134593605995178,1.52200448513031
1.0,42,122,22,ce,86.7,-0.060000000000002274,0.13731372356414795,0.4244544804096222,1.5431170463562012
1.0,42,123,23,ce,86.7,0.0,0.11104638874530792,0.41486501693725586,1.5238442420959473
1.0,42,124,24,ce,86.96,0.2599999999999909,0.12369787693023682,0.42641645669937134,1.5056592226028442
1.0,42,125,25,ce,86.4,-0.5599999999999881,0.1303689032793045,0.4289270043373108,1.5113952159881592
1.0,42,126,26,ce,86.64,0.23999999999999488,0.12549692392349243,0.4215136170387268,1.508992075920105
1.0,42,127,27,ce,86.76,0.12000000000000455,0.1329488456249237,0.43031933903694153,1.5076196193695068
1.0,42,128,28,ce,86.74,-0.020000000000010232,0.13973987102508545,0.43732917308807373,1.5158195495605469
1.0,42,129,29,ce,86.88,0.14000000000000057,0.14250320196151733,0.43523576855659485,1.4817448854446411
1.0,42,130,30,ce,86.74,-0.14000000000000057,0.13500235974788666,0.4314112365245819,1.4596478939056396
1.0,42,131,31,ce,86.68,-0.05999999999998806,0.15831413865089417,0.4431365132331848,1.4808601140975952
1.0,42,132,32,ce,86.7,0.01999999999999602,0.1444886326789856,0.4397549629211426,1.4590814113616943
1.0,42,133,33,ce,86.92,0.21999999999999886,0.15934988856315613,0.44233882427215576,1.45798921585083
1.0,42,134,34,ce,86.92,0.0,0.15313485264778137,0.44146406650543213,1.4502328634262085
